#  telescope	date	JD	airmass	filter_obs	filter	constant
  FTN_FS	2011-09-18T05:24:20.039	55822.225	2.131	      dophot	  g  24.6949  gr    0.16 |     0  0.0
  FTN_FS	2011-09-20T05:34:23.246	55824.232	2.334	      dophot	  g  24.9825  gr    0.16 |     0  0.0
  FTN_FS	2011-09-20T05:33:20.155	55824.231	2.321	      dophot	  g  24.9882  gr    0.16 |     0  0.0
  FTN_FS	2011-09-22T05:32:54.538	55826.231	2.417	      dophot	  g  25.8608  gr    0.16 |     0  0.0
  FTN_FS	2011-09-22T05:18:11.004	55826.221	2.234	      dophot	  g  25.1766  gr    0.16 |     0  0.0
  FTN_FS	2011-09-22T05:27:02.276	55826.227	2.341	      dophot	  g  25.9108  gr    0.16 |     0  0.0
  FTN_FS	2011-09-22T05:23:20.594	55826.225	2.294	      dophot	  g  25.2077  gr    0.16 |     0  0.0
  FTN_FS	2011-09-25T05:08:12.021	55829.214	2.255	      dophot	  g  25.5159  gr    0.16 |     0  0.0
  FTN_FS	2011-09-26T05:07:05.473	55830.213	2.289	      dophot	  g  25.5774  gr    0.16 |     0  0.0
  FTN_FS	2011-09-26T05:13:20.025	55830.218	2.366	      dophot	  g  25.5820  gr    0.16 |     0  0.0
  FTN_FS	2011-09-27T05:10:29.847	55831.216	2.381	      dophot	  g  25.6207  gr    0.16 |     0  0.0
  FTN_FS	2011-09-27T05:17:09.319	55831.220	2.471	      dophot	  g  25.5949  gr    0.16 |     0  0.0
  FTN_FS	2011-08-25T05:40:59.400	55798.237	1.586	      dophot	  r  27.3300  gr    0.02 |     0  0.0
  FTN_FS	2011-08-25T05:40:59.400	55798.237	1.586	      dophot	  r  27.3384  ri    0.02 |     0  0.0
  FTN_FS	2011-08-26T05:37:49.032	55799.235	1.590	      dophot	  r  25.8400  gr    0.02 |     0  0.0
  FTN_FS	2011-08-26T05:37:49.032	55799.235	1.590	      dophot	  r  25.8489  ri    0.02 |     0  0.0
  FTN_FS	2011-08-27T05:40:54.694	55800.237	1.624	      dophot	  r  25.6585  gr    0.02 |     0  0.0
  FTN_FS	2011-08-27T05:40:54.694	55800.237	1.624	      dophot	  r  25.6709  ri    0.02 |     0  0.0
  FTN_FS	2011-08-28T05:49:41.392	55801.243	1.692	      dophot	  r  25.7996  gr    0.02 |     0  0.0
  FTN_FS	2011-08-28T05:49:41.392	55801.243	1.692	      dophot	  r  25.8080  ri    0.02 |     0  0.0
  FTN_FS	2011-08-29T05:35:03.978	55802.233	1.634	      dophot	  r  25.8682  gr    0.02 |     0  0.0
  FTN_FS	2011-08-29T05:35:03.978	55802.233	1.634	      dophot	  r  25.8769  ri    0.02 |     0  0.0
  FTN_FS	2011-08-30T05:44:22.658	55803.239	1.707	      dophot	  r  25.3897  gr    0.02 |     0  0.0
  FTN_FS	2011-08-30T05:44:22.658	55803.239	1.707	      dophot	  r  25.3981  ri    0.02 |     0  0.0
  FTN_FS	2011-08-31T06:03:12.946	55804.252	1.855	      dophot	  r  25.3421  gr    0.02 |     0  0.0
  FTN_FS	2011-08-31T06:03:12.946	55804.252	1.855	      dophot	  r  25.3505  ri    0.02 |     0  0.0
  FTN_FS	2011-09-01T05:59:12.930	55805.249	1.855	      dophot	  r  25.3901  gr    0.02 |     0  0.0
  FTN_FS	2011-09-01T05:59:12.930	55805.249	1.855	      dophot	  r  25.3986  ri    0.02 |     0  0.0
  FTN_FS	2011-09-02T05:31:03.649	55806.230	1.698	      dophot	  r  24.9666  gr    0.02 |     0  0.0
  FTN_FS	2011-09-02T05:31:03.649	55806.230	1.698	      dophot	  r  24.9748  ri    0.02 |     0  0.0
  FTN_FS	2011-09-03T05:55:06.375	55807.247	1.883	      dophot	  r  25.0282  gr    0.02 |     0  0.0
  FTN_FS	2011-09-03T05:55:06.375	55807.247	1.883	      dophot	  r  25.0370  ri    0.02 |     0  0.0
  FTN_FS	2011-09-05T05:58:24.251	55809.249	1.972	      dophot	  r  24.9830  gr    0.02 |     0  0.0
  FTN_FS	2011-09-05T05:58:24.251	55809.249	1.972	      dophot	  r  24.9913  ri    0.02 |     0  0.0
  FTN_FS	2011-09-07T05:56:01.111	55811.247	2.020	      dophot	  r  24.7992  gr    0.02 |     0  0.0
